Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-02-10 02:05:11,,UTC-05:00,1,85,13,34.80,92.91,,,,,2024-02-10 02:05:11,2024-02-10 05:50:37,34,19.9,203,225,89,49,65,22,606,113,93,
2024-02-09 00:00:00,2024-02-10 02:05:11,UTC-05:00,,,,,,12.5,1204,166,100,,,,,,,,,,,,,,
2024-02-02 00:08:46,2024-02-03 00:08:46,UTC-05:00,58,63,68,33.56,96.38,6.2,1376,136,81,2024-02-02 00:08:46,2024-02-02 06:44:21,63,16.5,382,395,315,15,52,13,608,127,96,31
2024-02-01 08:07:34,2024-02-02 00:08:46,UTC-05:00,23,78,70,32.53,94.00,9.2,1613,160,77,2024-02-01 08:07:34,2024-02-01 13:26:43,36,17.5,191,319,145,23,23,128,528,46,59,8
2024-01-30 22:49:06,2024-02-01 08:07:34,UTC-05:00,61,63,62,35.06,95.21,9.4,2483,151,79,2024-01-30 22:49:06,2024-01-31 06:11:44,81,17.5,389,442,167,96,126,53,482,8,90,64
2024-01-29 22:30:26,2024-01-30 22:49:06,UTC-05:00,83,60,84,34.90,95.72,5.1,2043,132,67,2024-01-29 22:30:26,2024-01-30 08:00:01,98,17.1,534,569,287,105,142,35,547,70,93,54
2024-01-28 23:24:00,2024-01-29 22:30:26,UTC-05:00,70,62,75,34.50,94.00,7.6,2064,134,73,2024-01-28 23:24:00,2024-01-29 06:20:43,78,17.2,383,416,223,75,85,33,493,0,93,54
2024-01-28 00:00:00,2024-01-28 23:24:00,UTC-05:00,,,,,,12.5,2042,134,84,,,,,,,,,,,,,,
2024-01-26 23:01:53,2024-01-28 00:00:00,UTC-05:00,40,69,45,34.74,94.80,8.1,1979,143,79,2024-01-26 23:01:53,2024-01-27 08:36:16,100,16.6,530,574,335,84,111,44,505,22,92,73
2024-01-25 23:41:18,2024-01-26 23:01:53,UTC-05:00,52,63,57,34.60,95.38,10.0,1776,150,90,2024-01-25 23:41:18,2024-01-26 06:33:43,92,16.8,389,412,159,114,116,23,423,127,94,81
2024-01-25 00:06:48,2024-01-25 23:41:18,UTC-05:00,1,75,25,,94.33,8.8,2199,158,74,2024-01-25 00:06:48,2024-01-25 03:17:44,31,18.4,170,190,100,45,25,20,545,70,89,78
2024-01-23 23:56:04,2024-01-25 00:06:48,UTC-05:00,34,68,47,34.33,94.94,5.2,1698,132,72,2024-01-23 23:56:04,2024-01-24 08:27:58,80,17.2,436,511,192,100,144,75,546,51,85,76
2024-01-22 23:14:13,2024-01-23 23:56:04,UTC-05:00,54,65,69,34.83,95.53,12.9,2696,158,78,2024-01-22 23:14:13,2024-01-23 07:32:39,85,16.8,466,498,284,96,86,32,546,68,94,77
2024-01-21 23:47:10,2024-01-22 23:14:13,UTC-05:00,31,66,55,34.80,95.53,8.1,2125,135,74,2024-01-21 23:47:10,2024-01-22 06:32:50,74,17.1,383,405,202,84,97,22,520,37,94,63
